record_id,mof_id,gas_type,gas_name,temperature,temperature_unit,pressure,pressure_unit,capacity_value,capacity_unit,measurement_type,isotherm_id,DOI,publication_year,source_id,source_type,source_database,source_url,source_location,extraction_method,extraction_confidence,notes
mofxdb_hMOF-6_iso5105127_p1,mofxdb_hMOF-6,CO2,CarbonDioxide,298.0,K,0.01,bar,0.107653,mol/kg,capacity,5105127,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105127.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-6_iso5518384_p5,mofxdb_hMOF-6,CH4,Methane,298.0,K,0.9,bar,0.28195,mol/kg,capacity,5518384,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5518384.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-6_iso5737345_p1,mofxdb_hMOF-6,CH4,Methane,298.0,K,35.0,bar,128.267,cm3(STP)/cm3,capacity,5737345,10.1038/nchem.1192,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5737345.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-6_iso6012950_p1_Xenon,mofxdb_hMOF-6,Xe,Xenon,273.0,K,1.0,bar,0.289497,mol/kg,capacity,6012950,10.1039/C2SC01097F,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6012950.json,,web_api_json,medium,MOFX-DB category=exp; composition=0.2; origin and units require final verification.
mofxdb_hMOF-6_iso6012950_p1_Krypton,mofxdb_hMOF-6,Kr,Krypton,273.0,K,1.0,bar,0.356424,mol/kg,capacity,6012950,10.1039/C2SC01097F,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6012950.json,,web_api_json,medium,MOFX-DB category=exp; composition=0.8; origin and units require final verification.
mofxdb_hMOF-6_iso6012950_p2_Xenon,mofxdb_hMOF-6,Xe,Xenon,273.0,K,5.0,bar,1.44663,mol/kg,capacity,6012950,10.1039/C2SC01097F,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6012950.json,,web_api_json,medium,MOFX-DB category=exp; composition=0.2; origin and units require final verification.
mofxdb_hMOF-6_iso6012950_p2_Krypton,mofxdb_hMOF-6,Kr,Krypton,273.0,K,5.0,bar,1.72388,mol/kg,capacity,6012950,10.1039/C2SC01097F,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6012950.json,,web_api_json,medium,MOFX-DB category=exp; composition=0.8; origin and units require final verification.
mofxdb_hMOF-6_iso6012950_p3_Xenon,mofxdb_hMOF-6,Xe,Xenon,273.0,K,10.0,bar,3.00034,mol/kg,capacity,6012950,10.1039/C2SC01097F,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6012950.json,,web_api_json,medium,MOFX-DB category=exp; composition=0.2; origin and units require final verification.
mofxdb_hMOF-6_iso6012950_p3_Krypton,mofxdb_hMOF-6,Kr,Krypton,273.0,K,10.0,bar,3.61963,mol/kg,capacity,6012950,10.1039/C2SC01097F,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6012950.json,,web_api_json,medium,MOFX-DB category=exp; composition=0.8; origin and units require final verification.
mofxdb_hMOF-6_iso6150836_p1,mofxdb_hMOF-6,H2,Hydrogen,77.0,K,2.0,bar,9.62817,g/l,capacity,6150836,10.1021/acs.jpcc.6b08729,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6150836.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-6_iso6150836_p2,mofxdb_hMOF-6,H2,Hydrogen,77.0,K,100.0,bar,50.4343,g/l,capacity,6150836,10.1021/acs.jpcc.6b08729,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/6150836.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
